8810,FRONTERA,Otro
10605,Política TDT,Otro
2648,Municipio de Tulum,Otro
5765,Contratos,Otro
2299,Municipio de Tianguistengo,Otro
2084,Telecom Altura,Otro
1693,Estados Unidos Mexicanos,Otro
7781,Presupuesto,Otro
8948,Municipio,Otro
10709,Unidad,Otro
8636,C. Díaz,Otro
2293,Unidad de Asuntos Jurídicos,Otro
1765,Corredor Público,Otro
10330,CONSIDERANDO PRIMERO,Otro
2106,Antecedente Segundo,Otro
1458,Comisión Federal de Competencia Económica,Organización
2131,Reglamento de la Ley Federal de Competencia Económica,Ley
7388,Cable TV Internacional Sadecv,Organización
8085,Capacidad Administrativa,Otro
2220,Modelo de Costeo Estándar,Otro
3941,Tepic,Otro
7980,Patuán,Otro
1902,Modelos de Costos,Otro
1482,Adriana Sofía Labardini Inzunza,Otro
1634,VHF y UHF,Organización
1492,Moralillo y Tamos,Organización
7309,Resolutivo PRIMERO de la Resolución El,Otro
1460,Ley Competencia,Ley
9146,La Venta,Otro
7240,Información Pública,Otro
2346,Municipio de Parras,Otro
1916,REGLA QUINTA TRANSITORIA,Otro
7344,San Ángel y GTV,Organización
3942,Nayarit,Otro
2201,Lineamientos para la Acreditación,Otro
1895,Reglas Quinta y Sexta de las RdSL,Organización
3325,C. Erick James Steinmann,Otro
2326,Municipio de Frontera,Otro
7523,Antecedente,Otro
2135,Insurgentes Sur,Otro
4679,Ley Federal de el Procedimiento Administrativo,Ley
1946,Compartición de Infraestructura,Otro
1507,Diario Oficial de la Federación los Lineamientos,Otro
7701,Coordinación General de Política de el Usuario,Organización
10273,AT & T DE EL GOLFO,Otro
2710,Salitre Palmarillos,Otro
10213,Descripción de el Proyecto,Otro
1928,Plan Técnico Fundamental de Señalización,Otro
8947,Ciénegas de Carranza,Otro
1595,Concesión,Otro
10397,Segunda,Otro
1452,Ley Federal de Derechos,Ley
1675,Análisis de Impacto Regulatorio,Otro
8880,C. René Robles Sánchez,Otro
4761,Usuarios Fijos,Otro
6037,Aguascalientes,Otro
2047,Opinión de la UMCA,Otro
6593,Telecable de Tierra Caliente Sadecv,Organización
4603,CTI,Otro
1590,Segunda Cesión de Derechos,Organización
2028,Guanajuato,Otro
4139,Convenio,Otro
4404,CTl,Otro
7674,Usuarios,Otro
3245,C. Grajales Palacios,Otro
6850,Sanctorum,Otro
2015,Municipio de Huayacocotla,Otro
4982,Reglamento,Otro
4130,Decimosexta de el Convenio Axtel-Telnor,Otro
7469,Colombia,Otro
11185,Competencia,Otro
5454,Palau,Otro
7250,Lic,Otro
4038,Lo,Otro
7537,Anteproyecto,Otro
9697,Telefonía Internet y TV Sadecv Decreto de Reforma Constitucional,Organización
10701,Opinión UMCA Por,Otro
8088,Tlaquepaque,Otro
9223,Sala de el Tribunal Federal Justicia Fiscal y Administrativa,Organización
11145,Acuerdo de el Pleno de el Instituto Federal de Telecomunicaciones,Organización
2568,Pautas de Accesibilidad de Contenido de Internet,Otro
1456,Código Fiscal de la Federación,Ley
3482,Relación,Otro
10024,Refrendo,Otro
2726,Municipio de Zacualpan,Otro
2571,Ruta Accesible,Otro
7540,Dicho Análisis de Impacto Regulatorio,Otro
1567,Comisión Nacional de Libros de Texto Gratuito,Organización
11240,Pleno de el Instituto Federal de Telecomunicaciones,Organización
7451,Requirements,Otro
10715,UTEG,Otro
10159,Comisionado Presidente de el Instituto,Organización
2378,Municipio de Unión Juárez,Otro
2545,Concesionarios y Autorizados,Organización
2514,América Latina,Otro
2590,Accesibilidad y Diseño Universal,Organización
2399,Resolutivos Segundo,Otro
7574,Procuraduría Federal de el Consumidor,Organización
2574,Sistemas de Atención,Otro
2712,Cuadrilla de López y Amadores,Organización
8084,Comercio,Otro
11171,Sadecv,Organización
1930,Comisión y Axtel,Organización
8677,Municipio de San Francisco de el Mar,Otro
2250,José Pérez Ramírez,Otro
5971,Comunicación Segura Sadecv Decreto de Reforma Constitucional,Organización
10464,AT & T de el Occidente Srldecv,Organización
11065,ANTECEDENTES Decreto de Reforma Constitucional,Otro
2783,Municipio de Nuevo Urecho,Otro
1709,Solicitud de Concesión,Otro
2491,Unión Internacional de Telecomunicaciones,Organización
1537,Administración Pública Federal para el Ejercicio Fiscal,Otro
7748,Presidente de el IFT,Otro
1587,Primera Cesión de Derechos,Organización
10679,Política para la Transición,Otro
11225,Lineamientos,Otro
7465,Elderly Customer,Otro
2736,OSCAR REYES ROSAS,Otro
3916,Lucia Pérez Medina Vda. de Mondragón XHKG,Otro
1583,Ley Federal de Radio y Televisión,Ley
2734,San Diego de la Unión,Otro
7543,Establecer,Otro
4149,Cláusula Decimosexta de el Convenio Axtel-Telmex,Otro
2735,Municipio de San Diego de la Unión,Otro
2659,Procuraduría Federal de Consumidor,Organización
9311,XHDGM-FM,Otro
10299,Operadores,Otro
9944,Comunicación de el Sureste Sadecv,Organización
10590,Autorización de Transición,Otro
9110,Dictamen De,Otro
9937,Teleimagen de el Noroeste Sadecv,Organización
10755,MEDIA,Otro
11061,Sesión,Otro
2463,Personas Relacionada,Otro
1894,Centrales de Conmutación,Otro
9024,Konecta,Otro
1688,Ejecutivo Federal,Otro
7368,Figuras,Otro
11204,El Folio Electrónico,Otro
10872,Opinión de la Unidad de Competencia Económica,Organización
2456,Ley de Amparo,Ley
5829,Ocozocoautla,Otro
2715,José Félix Gallegos Hernández y Félix Eduardo López Rodríguez,Organización
2190,Impuestas por el Instituto,Organización
7795,Órgano Interno de Control de el IFT,Otro
9411,C. Moisés Carpio Alarcón,Otro
7565,Autorizado,Otro
7423,JUSTIFICACIÓN DE SU EMISIÓN,Otro
4607,Y,Otro
10806,Interesados,Otro
