Lunes_20_de_febrero_de_2017 [L:20/2/2017:??.??:??] W 1
DIARIO_OFICIAL diario_oficial NP00000 1
( ( Fpa 1
Primera_Sección primera_sección NP00000 1
) ) Fpt 1
INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_ACUERDO instituto_federal_de_telecomunicaciones_acuerdo NP00000 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
derivado derivar VMP00SM 0.623747
de de SP 0.999961
la el DA0FS0 0.98926
expedición expedición NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
Lineamientos_para_la_Acreditación lineamientos_para_la_acreditación NP00000 1
de de SP 0.999961
peritos perito NCMP000 0.638689
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
fija fijar VMIP3S0 0.308271
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
los el DA0MP0 0.992728
aprovechamientos aprovechamiento NCMP000 1
que que PR0CN00 0.550139
deberán deber VMIF3P0 1
cobrar cobrar VMN0000 1
se se PP3CN00 1
por por SP 1
la el DA0FS0 0.98926
prestación prestación NCFS000 1
de de SP 0.999961
diversos diverso DI0MP0 0.938596
servicios servicio NCMP000 1
públicos público AQ0MP00 0.974537
en en SP 1
el el DA0MS0 1
ejercicio ejercicio NCMS000 1
de de SP 0.999961
sus su DP3CPN 0.999903
funciones función NCFP000 0.994186
de de SP 0.999961
derecho derecho NCMS000 0.882166
público público AQ0MS00 0.409696
por por SP 1
los el DA0MP0 0.992728
que que PR0CN00 0.550139
no no RN 0.999297
se se P00CN00 0.494509
establece establecer VMIP3S0 0.992424
monto monto NCMS000 0.939852
específico específico AQ0MS00 0.661294
en en SP 1
la el DA0FS0 0.98926
Ley_Federal_de_Derechos ley_federal_de_derechos NP00000 1
. . Fp 1

A a SP 1
el el DA0MS0 1
margen margen NCCS000 1
un uno DI0MS0 0.99698
logotipo logotipo NCMS000 1
, , Fc 1
que que PR0CN00 0.550139
dice decir VMIP3S0 1
: : Fd 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
. . Fp 1

ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DERIVADO_DE_LA_EXPEDICIÓN_DE_LOS_LINEAMIENTOS_PARA_LA_ACREDITACIÓN_DE_PERITOS_EN_MATERIA_DE_TELECOMUNICACIONES_Y_RADIODIFUSIÓN acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_derivado_de_la_expedición_de_los_lineamientos_para_la_acreditación_de_peritos_en_materia_de_telecomunicaciones_y_radiodifusión NP00000 1
, , Fc 1
FIJA_EL_MONTO_DE_LOS_APROVECHAMIENTOS_QUE_DEBERÁN_COBRARSE_POR_LA_PRESTACIÓN_DE_DIVERSOS_SERVICIOS_PÚBLICOS_EN_EL_EJERCICIO_DE_SUS_FUNCIONES_DE_DERECHO_PÚBLICO_POR_LOS_QUE_NO_SE_ESTABLECE_MONTO_ESPECÍFICO_EN_LA_LEY_FEDERAL_DE_DERECHOS fija_el_monto_de_los_aprovechamientos_que_deberán_cobrarse_por_la_prestación_de_diversos_servicios_públicos_en_el_ejercicio_de_sus_funciones_de_derecho_público_por_los_que_no_se_establece_monto_específico_en_la_ley_federal_de_derechos NP00000 1
. . Fp 1

ANTECEDENTES_I._El antecedentes_i._el NP00000 1
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
DOF do_f NCMS000 0.52712
” ” Frc 1
) ) Fpt 1
el el DA0MS0 1
" " Fe 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
" " Fe 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
el el DA0MS0 1
" " Fe 1
Decreto_Constitucional decreto_constitucional NP00000 1
" " Fe 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
creó crear VMIS3S0 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
" " Fe 1
Instituto instituto NCMS000 0.668984
" " Fe 1
) ) Fpt 1
, , Fc 1
como como CS 0.967153
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
autónomo autónomo AQ0MS00 0.980769
con con SP 1
personalidad personalidad NCFS000 1
jurídica jurídico AQ0FS00 1
y y CC 0.999989
patrimonio patrimonio NCMS000 1
propio propio AQ0MS00 0.998575
. . Fp 1

II ii NP00000 0.47288
. . Fp 1

El el DA0MS0 1
14_de_julio_de_2014 [??:14/7/2014:??.??:??] W 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
" " Fe 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
expiden expedir VMIP3P0 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
y y CC 0.999989
la el DA0FS0 0.98926
Ley_de_el_Sistema_Público_de_Radiodifusión_de_el_Estado_Mexicano ley_de_el_sistema_público_de_radiodifusión_de_el_estado_mexicano NP00000 1
; ; Fx 1
y y CC 0.999989
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
adicionan adicionar VMIP3P0 1
y y CC 0.999989
derogan derogar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
" " Fe 1
. . Fp 1

III iii NP00000 1
. . Fp 1

El el DA0MS0 1
4_de_septiembre_de_2014 [??:4/9/2014:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
DOF_el_Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones dof_el_estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
" " Fe 1
Estatuto_Orgánico estatuto_orgánico NP00000 1
" " Fe 1
) ) Fpt 1
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
entró entrar VMIS3S0 1
en en SP 1
vigor vigor NCMS000 1
el el DA0MS0 1
día_26 [??:26/??/??:??.??:??] W 1
de de SP 1
el el DA0MS0 1
mismo mismo AQ0MS00 0.802208
mes mes NCMS000 1
y y CC 0.999989
año año NCMS000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
modificó modificar VMIS3S0 1
a_través_de a_través_de SP 1
los el DA0MP0 0.992728
acuerdos acuerdo NCMP000 1
modificatorios modificatorio AQ0MP00 1
de de SP 0.999961
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
publicados publicar VMP00PM 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
17_de_octubre_de_2014 [??:17/10/2014:??.??:??] W 1
y y CC 0.999989
el el DA0MS0 1
17_de_octubre_de_2016 [??:17/10/2016:??.??:??] W 1
. . Fp 1

IV iv NP00000 0.47288
. . Fp 1

El el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
mediante mediante SP 0.99763
el el DA0MS0 1
Acuerdo acuerdo NP00000 1
P/IFT/170316/104 P/IFT/170316/104 Z 1
, , Fc 1
emitido emitir VMP00SM 1
en en SP 1
su su DP3CSN 1
VIII_Sesión_Ordinaria viii_sesión_ordinaria NP00000 1
, , Fc 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
de de SP 0.999961
17_de_marzo_de_2016 [??:17/3/2016:??.??:??] W 1
, , Fc 1
aprobó aprobar VMIS3S0 1
someter someter VMN0000 1
a a SP 0.998775
consulta consulta NCFS000 0.980583
pública público AQ0FS00 1
el el DA0MS0 1
“ “ Fra 1
ANTEPROYECTO_DE_LINEAMIENTOS_PARA_LA_ACREDITACIÓN_DE_PERITOS_EN_MATERIA_DE_TELECOMUNICACIONES_Y_DE_RADIODIFUSIÓN anteproyecto_de_lineamientos_para_la_acreditación_de_peritos_en_materia_de_telecomunicaciones_y_de_radiodifusión NP00000 1
” ” Frc 1
, , Fc 1
ello ello PD00S00 1
en en SP 1
cumplimiento cumplimiento NCMS000 1
con con SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
51 51 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
“ “ Fra 1
LFTR lftr NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

V._El_Pleno_de_el_Instituto v._el_pleno_de_el_instituto NP00000 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/250117/11 P/IFT/250117/11 Z 1
de de SP 0.999961
enero_de_2017 [??:??/1/2017:??.??:??] W 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
III_Sesión_Ordinaria iii_sesión_ordinaria NP00000 1
, , Fc 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
25_de_enero_de_2017 [??:25/1/2017:??.??:??] W 1
, , Fc 1
aprobó aprobar VMIS3S0 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
