RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_NIEGA_LA_PRÓRROGA_DE_VIGENCIA_DE_LA_CONCESIÓN_PARA_INSTALAR resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_niega_la_prórroga_de_vigencia_de_la_concesión_para_instalar NP00000 1
, , Fc 1
OPERAR_Y_EXPLOTAR_UNA_RED_PÚBLICA_DE_TELECOMUNICACIONES_OTORGADA_A_SEÑAL_INTERACTIVA operar_y_explotar_una_red_pública_de_telecomunicaciones_otorgada_a_señal_interactiva NP00000 1
, , Fc 1
S.A._DE_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
EN_VIRTUD_DE_QUE_DICHA_CONCESIONARIA_ES_TITULAR_DE_UNA_CONCESIÓN_ÚNICA_PARA_USO_COMERCIAL en_virtud_de_que_dicha_concesionaria_es_titular_de_una_concesión_única_para_uso_comercial NP00000 1
. . Fp 1

ANTECEDENTES_Otorgamiento_de_la_Concesión antecedentes_otorgamiento_de_la_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
28_de_marzo_de_2006 [??:28/3/2006:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
, , Fc 1
otorgó otorgar VMIS3S0 1
en_favor_de en_favor_de SP 1
el el DA0MS0 1
C._Rodrigo_Álvarez_Zenteno c._rodrigo_álvarez_zenteno NP00000 1
, , Fc 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
restringida restringir VMP00SF 1
en en SP 1
Ciudad_Victoria ciudad_victoria NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Tamaulipas estado_de_tamaulipas NP00000 1
, , Fc 1
con con SP 1
una uno DI0FS0 0.951973
vigencia vigencia NCFS000 1
de de SP 0.999961
10 10 Z 1
( ( Fpa 1
diez 10 Z 1
) ) Fpt 1
años año NCMP000 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
su su DP3CSN 1
otorgamiento otorgamiento NCMS000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Concesión concesión NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Servicio_de_Transmisión_Bidireccional_de_Datos servicio_de_transmisión_bidireccional_de_datos NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
27_de_noviembre_de_2006 [??:27/11/2006:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
C._Rodrigo_Álvarez_Zenteno c._rodrigo_álvarez_zenteno NP00000 1
, , Fc 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
la el DA0FS0 0.98926
entonces entonces RG 0.998203
Dirección_General_de_Política_de_Telecomunicaciones_de_la_Secretaría dirección_general_de_política_de_telecomunicaciones_de_la_secretaría NP00000 1
, , Fc 1
escrito escribir VMP00SM 0.533113
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
hace hacer VMIP3S0 1
de de SP 0.999961
conocimiento conocimiento NCMS000 1
que que PR0CN00 0.550139
dará dar VMIF3S0 1
inicio inicio NCMS000 0.996183
a a SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
transmisión transmisión NCFS000 1
bidireccional bidireccional AQ0CS00 1
de de SP 0.999961
datos dato NCMP000 1
a_partir_de a_partir_de SP 1
el el DA0MS0 1
1_de_enero_de_2007 [??:1/1/2007:??.??:??] W 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
modifica modificar VMIP3S0 0.973451
el el DA0MS0 1
Anexo_A anexo_a NP00000 1
y y CC 0.999989
se se P00CN00 0.494509
adiciona adicionar VMIP3S0 0.989241
, , Fc 1
según según CS 0.231127
corresponda corresponder VMSP3S0 0.634863
, , Fc 1
el el DA0MS0 1
Anexo_B anexo_b NP00000 1
o o CC 0.999864
C c NP00000 1
a a SP 0.998775
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
comprenden comprender VMIP3P0 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
restringida restringir VMP00SF 1
a_través_de a_través_de SP 1
redes red NCFP000 0.990196
cableadas cablear VMP00PF 1
, , Fc 1
para para SP 0.999834
incluir incluir VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
transmisión transmisión NCFS000 1
bidireccional bidireccional AQ0CS00 1
de de SP 0.999961
datos dato NCMP000 1
” ” Frc 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
7_de_octubre_de_2003 [??:7/10/2003:??.??:??] W 1
. . Fp 1

Servicio servicio NCMS000 0.668984
de de SP 0.999961
telefonía telefonía NCFS000 1
fija fijo AQ0FS00 0.684211
local local AQ0CS00 0.798805
. . Fp 1

El el DA0MS0 1
16_de_julio_de_2007 [??:16/7/2007:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
C._Rodrigo_Álvarez_Zenteno c._rodrigo_álvarez_zenteno NP00000 1
, , Fc 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
la el DA0FS0 0.98926
entonces entonces RG 0.998203
Dirección_General_de_Política_de_Telecomunicaciones_de_la_Secretaría dirección_general_de_política_de_telecomunicaciones_de_la_secretaría NP00000 1
, , Fc 1
escrito escribir VMP00SM 0.533113
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
hace hacer VMIP3S0 1
de de SP 0.999961
conocimiento conocimiento NCMS000 1
que que PR0CN00 0.550139
dará dar VMIF3S0 1
inicio inicio NCMS000 0.996183
a a SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
telefonía telefonía NCFS000 1
fija fijo AQ0FS00 0.684211
local local AQ0CS00 0.798805
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
el el DA0MS0 1
“ “ Fra 1
ACUERDO acuerdo NCMS000 0.991798
de de SP 0.999961
convergencia convergencia NCFS000 1
de de SP 0.999961
servicios servicio NCMP000 1
fijos fijo AQ0MP00 1
de de SP 0.999961
telefonía telefonía NCFS000 1
local local AQ0CS00 0.798805
y y CC 0.999989
televisión televisión NCFS000 1
y y CC 0.999989
/ / Fh 1
o o CC 0.999864
audio audio NCMS000 1
restringidos restringir VMP00PM 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
proporcionan proporcionar VMIP3P0 1
a_través_de a_través_de SP 1
redes red NCFP000 0.990196
públicas público AQ0FP00 1
alámbricas alámbrico AQ0FP00 1
e y CC 0.987994
inalámbricas inalámbrico AQ0FP00 1
. . Fp 1
” ” Frc 1
, , Fc 1
publicado publicar VMP00SM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
3_de_octubre_de_2006 [??:3/10/2006:??.??:??] W 1
. . Fp 1

Cesión cesión NCFS000 0.668984
de de SP 0.999961
derechos derecho NCMP000 0.996795
. . Fp 1

El el DA0MS0 1
13_de_junio_de_2012 [??:13/6/2012:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
2.-091/2012 2.-091/2012 Z 1
, , Fc 1
la el DA0FS0 0.98926
Subsecretaría_de_Comunicaciones_de_la_Secretaría subsecretaría_de_comunicaciones_de_la_secretaría NP00000 1
autorizó autorizar VMIS3S0 1
la el DA0FS0 0.98926
cesión cesión NCFS000 1
de de SP 0.999961
derechos derecho NCMP000 0.996795
de de SP 0.999961
la el DA0FS0 0.98926
Concesión concesión NP00000 1
a_favor_de a_favor_de SP 1
Señal_Interactiva señal_interactiva NP00000 1
, , Fc 1
S.A._de_C.V._Decreto_de_Reforma_Constitucional s.a._de_c.v._decreto_de_reforma_constitucional NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
creó crear VMIS3S0 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitud_de_Prórroga_de_Vigencia solicitud_de_prórroga_de_vigencia NP00000 1
. . Fp 1

El el DA0MS0 1
20_de_marzo_de_2014 [??:20/3/2014:??.??:??] W 1
, , Fc 1
Señal_Interactiva señal_interactiva NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
su su DP3CSN 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
, , Fc 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
el el DA0MS0 1
Instituto instituto NP00000 1
solicitud solicitud NCFS000 1
de de SP 0.999961
prórroga prórroga NCFS000 1
de de SP 0.999961
vigencia vigencia NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Concesión concesión NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Solicitud_de_Prórroga solicitud_de_prórroga NP00000 1
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitud_de_Opinión_Técnica solicitud_de_opinión_técnica NP00000 1
. . Fp 1

El el DA0MS0 1
27_de_mayo_de_2014 [??:27/5/2014:??.??:??] W 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
el el DA0MS0 1
Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/D01/P/189/2014 IFT/D01/P/189/2014 Z 1
el el DA0MS0 1
Instituto instituto NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
correspondiente correspondiente AQ0CS00 0.993421
a a SP 0.998775
la el DA0FS0 0.98926
Solicitud_de_Prórroga solicitud_de_prórroga NP00000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
por por SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
párrafo párrafo NCMS000 1
décimo décimo NCMS000 0.392601
séptimo 7 AO0MS00 0.991803
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Constitución constitución NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Opinión_Técnica_de_la_Secretaría opinión_técnica_de_la_secretaría NP00000 1
. . Fp 1

El el DA0MS0 1
26_de_junio_de_2014 [??:26/6/2014:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
2.1.-0598 2.1.-0598 Z 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Política_de_Telecomunicaciones dirección_general_de_política_de_telecomunicaciones NP00000 1
y y CC 0.999989
de de SP 0.999961
Radiodifusión_de_la_Secretaría radiodifusión_de_la_secretaría NP00000 1
, , Fc 1
remitió remitir VMIS3S0 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
1.-146 1.-146 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
fecha fecha NCFS000 0.990741
, , Fc 1
con con SP 1
