RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_UNA_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIAS_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_LA_PRESTACIÓN_DE_EL_SERVICIO_PÚBLICO_DE_RADIODIFUSIÓN_SONORA_EN_FRECUENCIA_MODULADA_EN_BOCA_DE_EL_RÍO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_una_concesión_para_usar_y_aprovechar_bandas_de_frecuencias_de_el_espectro_radioeléctrico_para_la_prestación_de_el_servicio_público_de_radiodifusión_sonora_en_frecuencia_modulada_en_boca_de_el_río NP00000 1
, , Fc 1
VERACRUZ veracruz NP00000 1
, , Fc 1
ASÍ_COMO_UNA_CONCESIÓN_ÚNICA así_como_una_concesión_única NP00000 1
, , Fc 1
AMBAS_PARA_USO_SOCIAL ambas_para_uso_social NP00000 1
, , Fc 1
A_FAVOR_DE_RADIO_CULTURAL_MONVER a_favor_de_radio_cultural_monver NP00000 1
, , Fc 1
A.C._ANTECEDENTES_I._Solicitud_de_Permiso a.c._antecedentes_i._solicitud_de_permiso NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
escrito escrito NCMS000 0.466887
presentado presentar VMP00SM 1
el el DA0MS0 1
5_de_septiembre_de_2013 [??:5/9/2013:??.??:??] W 1
, , Fc 1
Radio_Cultural_Monver radio_cultural_monver NP00000 1
, , Fc 1
A.C. a.c. NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
solicitante solicitante NCCS000 0.97619
” ” Frc 1
) ) Fpt 1
formuló formular VMIS3S0 1
ante ante SP 0.999744
la el DA0FS0 0.98926
extinta extinto AQ0FS00 1
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
COFETEL cofetel NP00000 1
” ” Frc 1
) ) Fpt 1
una uno DI0FS0 0.951973
solicitud solicitud NCFS000 1
de de SP 0.999961
permiso permiso NCMS000 1
para para SP 0.999834
la el DA0FS0 0.98926
instalación instalación NCFS000 1
y y CC 0.999989
operación operación NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
sonora sonoro AQ0FS00 1
en en SP 1
frecuencia frecuencia NCFS000 1
modulada modular VMP00SF 1
con con SP 1
fines fin NCMP000 0.994186
culturales cultural AQ0CP00 1
( ( Fpa 1
“ “ Fra 1
Solicitud_de_Permiso solicitud_de_permiso NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
en en SP 1
la el DA0FS0 0.98926
localidad localidad NCFS000 1
de de SP 0.999961
Boca_de_el_Río boca_de_el_río NP00000 1
, , Fc 1
Veracruz veracruz NP00000 1
. . Fp 1

II ii NP00000 0.47288
. . Fp 1

Requerimiento requerimiento NCMS000 0.668984
de de SP 0.999961
información información NCFS000 1
. . Fp 1

Mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/223/UCS/DG-CRAD/4115/2015 IFT/223/UCS/DG-CRAD/4115/2015 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
3_de_noviembre_de_2015 [??:3/11/2015:??.??:??] W 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
formuló formular VMIS3S0 1
requerimiento requerimiento NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
solicitante solicitante NCCS000 0.97619
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
fue ser VSIS3S0 0.980739
atendido atender VMP00SM 1
mediante mediante SP 0.99763
escrito escrito NCMS000 0.466887
presentado presentar VMP00SM 1
ante ante SP 0.999744
la el DA0FS0 0.98926
oficialía oficialía NCFS000 1
de de SP 0.999961
partes parte NCCP000 0.997076
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
con con SP 1
fecha fecha NCFS000 0.990741
20_de_noviembre_de_2015 [??:20/11/2015:??.??:??] W 1
, , Fc 1
integrando integrar VMG0000 0.813333
con con SP 1
ello ello PD00S00 1
en en SP 1
su su DP3CSN 1
totalidad totalidad NCFS000 1
la el DA0FS0 0.98926
Solicitud_de_Permiso solicitud_de_permiso NP00000 1
. . Fp 1

III iii NP00000 1
. . Fp 1

Opinión opinión NCFS000 0.668984
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
de de SP 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
. . Fp 1

Mediante mediante SP 0.99763
resolución resolución NCFS000 1
P/IFT/030914/296 P/IFT/030914/296 Z 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
en en SP 1
su su DP3CSN 1
XI_Sesión_Ordinaria xi_sesión_ordinaria NP00000 1
celebrada celebrar VMP00SF 1
el el DA0MS0 1
3_de_septiembre_de_2014 [??:3/9/2014:??.??:??] W 1
, , Fc 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
opinión opinión NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
, , Fc 1
la el DA0FS0 0.98926
cual cual PR0CS00 0.930743
fue ser VSIS3S0 0.980739
solicitada solicitar VMP00SF 1
por por SP 1
el el DA0MS0 1
