RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_LA_EMPRESA_TOTAL_PLAY_TELECOMUNICACIONES_S.A._DE_C.V._Y_LAS_EMPRESAS_AT_&_T_OPCO_UNE_MEX resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_la_empresa_total_play_telecomunicaciones_s.a._de_c.v._y_las_empresas_at_&_t_opco_une_mex NP00000 1
, , Fc 1
S._DE_R.L._DE_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
AT_&_T_DESARROLLO_EN_COMUNICACIONES_DE_MÉXICO at_&_t_desarrollo_en_comunicaciones_de_méxico NP00000 1
, , Fc 1
S._DE_R.L._DE_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
AT_&_T_DE_EL_GOLFO at_&_t_de_el_golfo NP00000 1
, , Fc 1
S._DE_R.L._DE_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
AT_&_T_COMCENTRO at_&_t_comcentro NP00000 1
, , Fc 1
S._DE_R.L._DE_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
AT_&_T_DE_EL_OCCIDENTE at_&_t_de_el_occidente NP00000 1
, , Fc 1
S._DE_R.L._DE_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
AT_&_T_SURESTE at_&_t_sureste NP00000 1
, , Fc 1
S._DE_R.L._DE_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
AT_&_T_NORTE at_&_t_norte NP00000 1
, , Fc 1
S._DE_R.L._DE_C.V._Y_AT_&_T_CENTRAL s._de_r.l._de_c.v._y_at_&_t_central NP00000 1
, , Fc 1
S._DE_R.L._DE_C.V._APLICABLES_DE_EL s._de_r.l._de_c.v._aplicables_de_el NP00000 1
1_DE_ENERO [??:1/1/??:??.??:??] W 1
A_EL a_el NP00000 1
31_DE_DICIEMBRE_DE_2016 [??:31/12/2016:??.??:??] W 1
. . Fp 1

ANTECEDENTES_Concesión_de_Total_Play_Telecomunicaciones_S.A._de_C.V. antecedentes_concesión_de_total_play_telecomunicaciones_s.a._de_c.v. NP00000 1
, , Fc 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
" " Fe 1
Total_Play total_play NP00000 1
" " Fe 1
) ) Fpt 1
, , Fc 1
es ser VSIP3S0 1
un uno DI0MS0 0.99698
Operador operador NP00000 1
que que PR0CN00 0.550139
cuenta contar VMIP3S0 0.768585
con con SP 1
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
de de SP 0.999961
los el DA0MP0 0.992728
títulos título NCMP000 1
de de SP 0.999961
concesión concesión NCFS000 1
otorgados otorgar VMP00PM 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
legislación legislación NCFS000 1
aplicable aplicable AQ0CS00 1
e y CC 0.987994
inscritos inscribir VMP00PM 1
en en SP 1
el el DA0MS0 1
Registro_Público_de_Concesiones_de_el_Instituto_Federal_de_Telecomunicaciones registro_público_de_concesiones_de_el_instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
en en SP 1
los el DA0MP0 0.992728
sucesivo sucesivo AQ0MS00 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Concesiones concesiones NP00000 0.331016
de de SP 0.999961
las el DA0FP0 0.988184
empresas empresa NCFP000 1
AT_&_T_Central at_&_t_central NP00000 1
, , Fc 1
S._de_R.L._de_C.V. s._de_r.l._de_c.v. NP00000 1
, , Fc 1
AT_&_T_de_el_Golfo at_&_t_de_el_golfo NP00000 1
, , Fc 1
S._de_R.L._de_C.V. s._de_r.l._de_c.v. NP00000 1
