ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LA_IMPROCEDENCIA_DE_LA_SOLICITUD_DE_AMPLIACIÓN_DE_PLAZO_SOLICITADA_POR_TELEVISIÓN_TABASQUEÑA acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_la_improcedencia_de_la_solicitud_de_ampliación_de_plazo_solicitada_por_televisión_tabasqueña NP00000 1
, , Fc 1
S._A_DE_C.V. s._a_de_c.v. NP00000 1
, , Fc 1
EN_RELACIÓN_CON_LA_OBLIGACIÓN_PREVISTA_EN_EL_RESOLUTIVO_SEGUNDO_DE_LA_RESOLUCIÓN_EMITIDA_MEDIANTE_EL_ACUERDO en_relación_con_la_obligación_prevista_en_el_resolutivo_segundo_de_la_resolución_emitida_mediante_el_acuerdo NP00000 1
P/IFT/EXT/181215/188 P/IFT/EXT/181215/188 Z 1
DE_FECHA_EL de_fecha_el NP00000 1
18_DE_DICIEMBRE_DE_2015 [??:18/12/2015:??.??:??] W 1
. . Fp 1

ANTECEDENTES_Con antecedentes_con NP00000 1
fecha fecha NCFS000 0.990741
18_de_diciembre_de_2015 [??:18/12/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/EXT/181215/188 P/IFT/EXT/181215/188 Z 1
, , Fc 1
resolvió resolver VMIS3S0 1
la el DA0FS0 0.98926
procedencia procedencia NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
solicitud solicitud NCFS000 1
de de SP 0.999961
prórroga prórroga NCFS000 1
de de SP 0.999961
vigencia vigencia NCFS000 1
de de SP 1
el el DA0MS0 1
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
otorgado otorgar VMP00SM 1
en_favor_de en_favor_de SP 1
TELEVISIÓN_TABASQUEÑA televisión_tabasqueña NP00000 1
, , Fc 1
S.A._DE_C.V. s.a._de_c.v. NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
“ “ Fra 1
TV_Tabasqueña tv_tabasqueña NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
así_como así_como CC 1
la el DA0FS0 0.98926
transición transición NCFS000 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
instrumento instrumento NCMS000 0.991071
a a SP 1
el el DA0MS0 1
régimen régimen NCMS000 1
de de SP 0.999961
uso uso NCMS000 0.998047
público público AQ0MS00 0.409696
, , Fc 1
respecto_de respecto_de SP 1
los el DA0MP0 0.992728
canales canal NCMP000 1
de de SP 0.999961
televisión televisión NCFS000 1
5 5 Z 1
( ( Fpa 1
76-82 76-82 Z 1
MHz mhz NP00000 1
) ) Fpt 1
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
XHVET-TV xhvet-tv NP00000 1
en en SP 1
La_Venta la_venta NP00000 1
; ; Fx 1
10 10 Z 1
( ( Fpa 1
+ + Fz 1
) ) Fpt 1
( ( Fpa 1
192-198 192-198 Z 1
MHz mhz NP00000 1
) ) Fpt 1
, , Fc 1
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
XHMET-TV xhmet-tv NP00000 1
en en SP 1
Tenosique tenosique NP00000 1
, , Fc 1
y y CC 0.999989
7 7 Z 1
( ( Fpa 1
- - Fg 1
) ) Fpt 1
( ( Fpa 1
174-180 174-180 Z 1
MHz mhz NP00000 1
) ) Fpt 1
con con SP 1
distintivo distintivo NCMS000 0.97619
de de SP 0.999961
llamada llamada NCFS000 0.480159
XHSTA-TV xhsta-tv NP00000 1
, , Fc 1
en en SP 1
Villahermosa villahermosa NP00000 1
, , Fc 1
todos todo DI0MP0 0.70665
ellos ellos PP3MP00 1
en en SP 1
el el DA0MS0 1
Estado_de_Tabasco estado_de_tabasco NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Resolución resolución NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Los el DA0MP0 0.992728
Resolutivos_Segundo resolutivos_segundo NP00000 1
y y CC 0.999989
Noveno_de_la_Resolución noveno_de_la_resolución NP00000 1
establecen establecer VMIP3P0 1
: : Fd 1
“ “ Fra 1
SEGUNDO 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Televisión_Tabasqueña televisión_tabasqueña NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
deberá deber VMIF3S0 1
exhibir exhibir VMN0000 1
los el DA0MP0 0.992728
comprobantes comprobante NCMP000 1
de de SP 0.999961
pago pago NCMS000 0.995283
de de SP 0.999961
los el DA0MP0 0.992728
montos monto NCMP000 1
de de SP 0.999961
los el DA0MP0 0.992728
aprovechamientos aprovechamiento NCMP000 1
por por SP 1
la el DA0FS0 0.98926
parte parte NCCS000 0.977711
proporcional proporcional AQ0CS00 1
autorizados autorizar VMP00PM 1
por por SP 1
la el DA0FS0 0.98926
Secretaría_de_Hacienda secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
que que PR0CN00 0.550139
ascienden ascender VMIP3P0 1
a a SP 0.998775
las el DA0FP0 0.988184
cantidades cantidad NCFP000 1
de de SP 0.999961
$8,721,922.00 $8,721,922.00 Z 1
( ( Fpa 1
Ocho_millones_setecientos_veintiún_mil_novecientos_veintidós_pesos $_CUP:8721922 Zm 1
00/100 00/100 Z 1
M.N. m.n. NP00000 1
) ) Fpt 1
; ; Fx 1
$4,017,007.00 $4,017,007.00 Z 1
( ( Fpa 1
Cuatro_millones_diecisiete_mil_siete_pesos $_CUP:4017007 Zm 1
00/100 00/100 Z 1
M.N. m.n. NP00000 1
) ) Fpt 1
; ; Fx 1
y y CC 0.999989
$22,196,009.00 $22,196,009.00 Z 1
( ( Fpa 1
Veintidós_millones_ciento_noventa_y_seis_mil_nueve_pesos $_CUP:22196009 Zm 1
00/100 00/100 Z 1
M.N. m.n. NP00000 1
) ) Fpt 1
de de SP 0.999961
las el DA0FP0 0.988184
estaciones estación NCFP000 0.992424
XHVET-TV xhvet-tv NP00000 1
en en SP 1
la el DA0FS0 0.98926
Venta venta NP00000 1
, , Fc 1
XHMET-TV xhmet-tv NP00000 1
en en SP 1
Tenosique tenosique NP00000 1
y y CC 0.999989
XHSTA-TV xhsta-tv NP00000 1
en en SP 1
Villahermosa villahermosa NP00000 1
, , Fc 1
respectivamente respectivamente RG 1
, , Fc 1
todas todo PI0FP00 0.0659269
de de SP 1
el el DA0MS0 1
Estado_de_Tabasco estado_de_tabasco NP00000 1
bajo bajo SP 0.909179
los el DA0MP0 0.992728
extremos extremo NCMP000 0.892157
expuestos exponer VMP00PM 1
en en SP 1
el el DA0MS0 1
Considerando_Sexto considerando_sexto NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
, , Fc 1
situación situación NCFS000 1
que que PR0CN00 0.550139
deberá deber VMIF3S0 1
realizar realizar VMN0000 1
en en SP 1
un uno DI0MS0 0.99698
término término NCMS000 1
de de SP 0.999961
30 30 Z 1
( ( Fpa 1
treinta 30 Z 1
) ) Fpt 1
días día NCMP000 1
hábiles hábil AQ0CP00 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
el el DA0MS0 1
día día NCMS000 1
