RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_COMPLEMENTA_EL_ACUERDO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_complementa_el_acuerdo NP00000 1
P/IFT/191217/917 P/IFT/191217/917 Z 1
, , Fc 1
EN_TÉRMINOS_DE_EL_ACUERDO_DE_FECHA en_términos_de_el_acuerdo_de_fecha NP00000 1
VEINTITRÉS_DE_ENERO_DE_DOS_MIL_DIECIOCHO [??:23/1/2018:??.??:??] W 1
EMITIDO_POR_EL_JUZGADO_SEGUNDO_DE_DISTRITO_EN_MATERIA_ADMINISTRATIVA_ESPECIALIZADO_EN_COMPETENCIA_ECONÓMICA emitido_por_el_juzgado_segundo_de_distrito_en_materia_administrativa_especializado_en_competencia_económica NP00000 1
, , Fc 1
RADIODIFUSIÓN_Y_TELECOMUNICACIONES_CON_RESIDENCIA_EN_LA_CIUDAD_DE_MÉXICO_Y_JURISDICCIÓN_EN_TODA_LA_REPÚBLICA_CORRESPONDIENTE_A_EL_JUICIO_DE_AMPARO radiodifusión_y_telecomunicaciones_con_residencia_en_la_ciudad_de_méxico_y_jurisdicción_en_toda_la_república_correspondiente_a_el_juicio_de_amparo NP00000 1
1643/2015 1643/2015 Z 1
. . Fp 1

ANTECEDENTES_Emisión_de_el_Acuerdo antecedentes_emisión_de_el_acuerdo NP00000 1
P/IFT/120815/363 P/IFT/120815/363 Z 1
. . Fp 1

El el DA0MS0 1
12_de_agosto_de_2015 [??:12/8/2015:??.??:??] W 1
, , Fc 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
en_lo_sucesivo en_lo_sucesivo RG 1
, , Fc 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
en en SP 1
su su DP3CSN 1
XVI_Sesión_Ordinaria xvi_sesión_ordinaria NP00000 1
, , Fc 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/120815/363 P/IFT/120815/363 Z 1
, , Fc 1
emitió emitir VMIS3S0 1
la el DA0FS0 0.98926
“ “ Fra 1
RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_DETERMINA_LAS_CONDICIONES_DE_INTERCONEXIÓN_NO_CONVENIDAS_ENTRE_RADIOMÓVIL_DIPSA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_determina_las_condiciones_de_interconexión_no_convenidas_entre_radiomóvil_dipsa NP00000 1
, , Fc 1
S.A._DE_C.V._Y_MAXCOM_TELECOMUNICACIONES s.a._de_c.v._y_maxcom_telecomunicaciones NP00000 1
, , Fc 1
S.A.B._DE_C.V._APLICABLES_DE_EL s.a.b._de_c.v._aplicables_de_el NP00000 1
1_DE_ENERO_DE_2015 [??:1/1/2015:??.??:??] W 1
A_EL a_el NP00000 1
31_DE_DICIEMBRE_DE_2016 [??:31/12/2016:??.??:??] W 1
” ” Frc 1
. . Fp 1

Ejecutoria ejecutorio AQ0FS00 0.661083
de de SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
R.A. r.a. NP00000 1
18/2016 18/2016 Z 1
. . Fp 1

Mediante mediante SP 0.99763
ejecutoria ejecutoria NCFS000 0.338898
de de SP 0.999961
fecha fecha NCFS000 0.990741
15_de_noviembre_de_2017 [??:15/11/2017:??.??:??] W 1
correspondiente correspondiente AQ0CS00 0.993421
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
R.A. r.a. NP00000 1
18/2016 18/2016 Z 1
, , Fc 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado segundo_tribunal_colegiado NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
