VERSIÓN_PÚBLICA_DE_EL_ACUERDO versión_pública_de_el_acuerdo NP00000 1
P/IFT/250117/53 P/IFT/250117/53 Z 1
DE_LA_SESIÓN_DE_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_EN_SU_III_SESIÓN_ORDINARIA_DE_EL de_la_sesión_de_el_pleno_de_el_instituto_federal_de_telecomunicaciones_en_su_iii_sesión_ordinaria_de_el NP00000 1
2016 2016 Z 1
, , Fc 1
CELEBRADA_EL celebrada_el NP00000 1
25_DE_ENERO_DE_2017 [??:25/1/2017:??.??:??] W 1
. . Fp 1

LEYENDA_DE_LA_CLASIFICACIÓN_Fecha_de_Clasificación leyenda_de_la_clasificación_fecha_de_clasificación NP00000 1
: : Fd 1
25_de_enero_de_2017 [??:25/1/2017:??.??:??] W 1
. . Fp 1

Unidad_Administrativa unidad_administrativa NP00000 1
: : Fd 1
Secretaría_Técnica_de_el_Pleno secretaría_técnica_de_el_pleno NP00000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
72 72 Z 1
, , Fc 1
fracción fracción NCFS000 1
V v NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
c c NCFS000 1
) ) Fpt 1
, , Fc 1
98 98 Z 1
, , Fc 1
fracción fracción NCFS000 1
III iii NP00000 1
y y CC 0.999989
104 104 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Transparencia ley_federal_de_transparencia NP00000 1
y y CC 0.999989
Acceso acceso NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
Información_Pública información_pública NP00000 1
( ( Fpa 1
“ “ Fra 1
LFTAIP lftaip NP00000 1
” ” Frc 1
) ) Fpt 1
; ; Fx 1
106 106 Z 1
, , Fc 1
107 107 Z 1
y y CC 0.999989
110 110 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_General_de_Transparencia ley_general_de_transparencia NP00000 1
y y CC 0.999989
Acceso acceso NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
Información_Pública información_pública NP00000 1
( ( Fpa 1
" " Fe 1
LGTAIP lgtaip NP00000 1
” ” Frc 1
) ) Fpt 1
; ; Fx 1
el el DA0MS0 1
Lineamiento_Séptimo lineamiento_séptimo NP00000 1
, , Fc 1
fracción fracción NCFS000 1
III iii NP00000 1
, , Fc 1
Quincuagésimo_Primero quincuagésimo_primero NP00000 1
a a SP 1
el el DA0MS0 1
Cuarto cuarto NP00000 1
, , Fc 1
Sexagésimo sexagésimo NP00000 1
y y CC 0.999989
Sexagésimo_Primero_de_los_Lineamientos_Generales sexagésimo_primero_de_los_lineamientos_generales NP00000 1
en_materia_de en_materia_de SP 1
Clasificación clasificación NP00000 1
y y CC 0.999989
Desclasificación_de_la_Información desclasificación_de_la_información NP00000 1
, , Fc 1
así_como así_como CC 1
para para SP 0.999834
la el DA0FS0 0.98926
Elaboración_de_Versiones_Públicas elaboración_de_versiones_públicas NP00000 1
( ( Fpa 1
“ “ Fra 1
LGCDIEVP lgcdievp NP00000 1
” ” Frc 1
) ) Fpt 1
; ; Fx 1
y y CC 0.999989
, , Fc 1
finalmente finalmente RG 1
, , Fc 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
versión versión NCFS000 1
pública público AQ0FS00 1
elaborada elaborar VMP00SF 1
por por SP 1
la el DA0FS0 0.98926
Dirección_General_de_Procedimientos_de_Competencia dirección_general_de_procedimientos_de_competencia NP00000 1
, , Fc 1
remitida remitir VMP00SF 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
IFT/226/UCE/DGPC/020/2017 IFT/226/UCE/DGPC/020/2017 Z 1
, , Fc 1
por por SP 1
contener contener VMN0000 1
información información NCFS000 1
Confidencial confidencial NP00000 1
. . Fp 1
Núm._de_Resolución núm._de_resolución NP00000 1
: : Fd 1
P/IFT/250117/53 P/IFT/250117/53 Z 1
. . Fp 1
Descripción descripción NCFS000 0.668984
de de SP 1
el el DA0MS0 1
asunto asunto NCMS000 1
: : Fd 1
Acuerdo acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
