RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_PRORROGA_LA_VIGENCIA_DE_LA_CONCESIÓN_DE_LA_C._SARA_QUIROZ_CHAPA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_prorroga_la_vigencia_de_la_concesión_de_la_c._sara_quiroz_chapa NP00000 1
, , Fc 1
Y_OTORGA_UN_TÍTULO_DE_CONCESIÓN_ÚNICA_PARA_USO_COMERCIAL y_otorga_un_título_de_concesión_única_para_uso_comercial NP00000 1
. . Fp 1

ANTECEDENTES_Otorgamiento_de_la_Concesión antecedentes_otorgamiento_de_la_concesión NP00000 1
. . Fp 1

El el DA0MS0 1
19_de_enero_de_2006 [??:19/1/2006:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
Secretaría_de_Comunicaciones secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Secretaría secretaría NCFS000 0.979661
” ” Frc 1
) ) Fpt 1
, , Fc 1
otorgó otorgar VMIS3S0 1
en_favor_de en_favor_de SP 1
la el DA0FS0 0.98926
C._Sara_Quiroz_Chapa c._sara_quiroz_chapa NP00000 1
, , Fc 1
un uno DI0MS0 0.99698
título título NCMS000 1
de de SP 0.999961
concesión concesión NCFS000 1
para para SP 0.999834
instalar instalar VMN0000 1
, , Fc 1
operar operar VMN0000 1
y y CC 0.999989
explotar explotar VMN0000 1
una uno DI0FS0 0.951973
red red NCFS000 1
pública público AQ0FS00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
para para SP 0.999834
prestar prestar VMN0000 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SP 0.999961
televisión televisión NCFS000 1
restringida restringir VMP00SF 1
en en SP 1
Taretan taretan NP00000 1
, , Fc 1
Emiliano_Zapata emiliano_zapata NP00000 1
y y CC 0.999989
Tomendán tomendán NP00000 1
, , Fc 1
Municipio_de_Taretan municipio_de_taretan NP00000 1
; ; Fx 1
Ziracuaretiro ziracuaretiro NP00000 1
, , Fc 1
Caracha caracha NP00000 1
y y CC 0.999989
Patuán patuán NP00000 1
, , Fc 1
Municipio_de_Ziracuaretiro municipio_de_ziracuaretiro NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Michoacán estado_de_michoacán NP00000 1
, , Fc 1
con con SP 1
una uno DI0FS0 0.951973
vigencia vigencia NCFS000 1
de de SP 0.999961
10 10 Z 1
( ( Fpa 1
diez 10 Z 1
) ) Fpt 1
años año NCMP000 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
su su DP3CSN 1
otorgamiento otorgamiento NCMS000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
Concesión concesión NCFS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Ampliación ampliación NCFS000 0.668984
de de SP 0.999961
cobertura cobertura NCFS000 1
. . Fp 1

El el DA0MS0 1
22_de_enero_de_2008 [??:22/1/2008:??.??:??] W 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
CFT/D03/USI/DGA/0108/08 CFT/D03/USI/DGA/0108/08 Z 1
, , Fc 1
la el DA0FS0 0.98926
entonces entonces RG 0.998203
Dirección_General_de_Redes dirección_general_de_redes NP00000 1
, , Fc 1
Espectro espectro NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
“ “ Fra 1
A a SP 0.998775
” ” Frc 1
, , Fc 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Servicios unidad_de_servicios NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
Industria industria NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
extinta extinto AQ0FS00 1
Comisión_Federal_de_Telecomunicaciones comisión_federal_de_telecomunicaciones NP00000 1
, , Fc 1
autorizó autorizar VMIS3S0 1
la el DA0FS0 0.98926
ampliación ampliación NCFS000 1
de de SP 0.999961
cobertura cobertura NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Concesión concesión NP00000 1
hacia hacia SP 1
las el DA0FP0 0.988184
localidades localidad NCFP000 1
de de SP 0.999961
La_Purísima la_purísima NP00000 1
y y CC 0.999989
El_Hoyo_de_el_Aire el_hoyo_de_el_aire NP00000 1
, , Fc 1
Municipio_de_Taretan municipio_de_taretan NP00000 1
; ; Fx 1
Tipítaro tipítaro NP00000 1
y y CC 0.999989
San_Vicente san_vicente NP00000 1
, , Fc 1
Municipio_de_Nuevo_Urecho municipio_de_nuevo_urecho NP00000 1
; ; Fx 1
Zirimícuaro zirimícuaro NP00000 1
, , Fc 1
San_Ángel_Zurumacapio san_ángel_zurumacapio NP00000 1
[ [ Fca 1
debiendo deber VMG0000 1
ser ser VSN0000 0.959637
“ “ Fra 1
San_Ángel_Zurumucapio san_ángel_zurumucapio NP00000 1
” ” Frc 1
] ] Fct 1
, , Fc 1
San_Andrés_Coru san_andrés_coru NP00000 1
y y CC 0.999989
El_Copal el_copal NP00000 1
, , Fc 1
Muncipio_de_Ziracuaretiro muncipio_de_ziracuaretiro NP00000 1
, , Fc 1
en en SP 1
el el DA0MS0 1
Estado_de_Michoacán estado_de_michoacán NP00000 1
. . Fp 1

Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
. . Fp 1

Con con SP 1
fecha fecha NCFS000 0.990741
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
“ “ Fra 1
Decreto decreto NCMS000 0.988439
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6o 6o Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
. . Fp 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
” ” Frc 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Decreto_de_Reforma_Constitucional decreto_de_reforma_constitucional NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
creó crear VMIS3S0 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
el el DA0MS0 1
“ “ Fra 1
Instituto instituto NCMS000 0.668984
” ” Frc 1
) ) Fpt 1
. . Fp 1

Solicitud_de_Prórroga_de_Vigencia solicitud_de_prórroga_de_vigencia NP00000 1
. . Fp 1

El el DA0MS0 1
17_de_diciembre_de_2013 [??:17/12/2013:??.??:??] W 1
, , Fc 1
la el DA0FS0 0.98926
C._Sara_Quiroz_Chapa c._sara_quiroz_chapa NP00000 1
presentó presentar VMIS3S0 1
ante ante SP 0.999744
el el DA0MS0 1
